name:place:ind
джоконда:Лувр:1540737/0c24263b6059b3a9fa8e
рождение венеры:Uffizi:1030494/ed005f0e14ab0b1b1e55
сотворение адама:Ватикан:213044/07defbc73d2f6cd2072c
дама с горностаем:Muzeum Ksiazat Czartoryskich:1521359/f87687fe7d901e0317ba
тайная вечеря:Santa Maria delle Grazie:213044/29cd035c7d1f7eb6ec37
сикстинская мадонна:Theaterplatz 1:997614/5a93a009b05ac08d8b72
мадонна литта:дворцовая площадь 2:1540737/011913fd1003df962a67
афинская школа:Vatican Museums:213044/07defbc73d2f6cd2072c
призвание апостола матфея:San Luigi dei Francesi:213044/2c866da530a7a8601588
весна:Uffizi:1030494/ed005f0e14ab0b1b1e55
мадонна кастельфранко:Basilica di Santa Maria Assunta:1652229/0b7b985371ee7d059682
мадонна бенуа:дворцовая площадь 2:1540737/011913fd1003df962a67
мадонна в скалах:Лувр:1540737/0c24263b6059b3a9fa8e
спаситель мира:Лувр:1540737/0c24263b6059b3a9fa8e
крещение христа:Uffizi:1030494/ed005f0e14ab0b1b1e55
поклонение волхвов:Uffizi:1030494/ed005f0e14ab0b1b1e55
святая анна с мадонной и младенцем христом:Лувр:1540737/0c24263b6059b3a9fa8e
прекрасная ферроньера:Лувр:1540737/0c24263b6059b3a9fa8e
благовещение:Uffizi:1030494/ed005f0e14ab0b1b1e55
мадонна с младенцем:дворцовая площадь 2:1540737/011913fd1003df962a67
автопортрет:Uffizi:1030494/ed005f0e14ab0b1b1e55
мадонна со щеглом:Uffizi:1030494/ed005f0e14ab0b1b1e55
мадонна с безбородым Иосифом:дворцовая площадь 2:1540737/011913fd1003df962a67
прекрасная садовница:Лувр:1540737/0c24263b6059b3a9fa8e
